libavc1394-0:amd64	0.5.4-5build4	amd64
libayatana-appindicator3-1	0.5.94-1build1	amd64
libayatana-ido3-0.4-0:amd64	0.10.4-1build1	amd64
libayatana-indicator3-7:amd64	0.9.4-2	amd64
libbabeltrace1:amd64	1.5.11-5build1	amd64
libbasicobjects0t64:amd64	0.6.2-3build1	amd64
libbinutils:amd64	2.46-3ubuntu2	amd64
libblkid1:amd64	2.41.3-3ubuntu2	amd64
libblockdev-crypto3:amd64	3.4.0-1	amd64
libblockdev-fs3:amd64	3.4.0-1	amd64
libblockdev-loop3:amd64	3.4.0-1	amd64
libblockdev-mdraid3:amd64	3.4.0-1	amd64
libblockdev-nvme3:amd64	3.4.0-1	amd64
libblockdev-part3:amd64	3.4.0-1	amd64
libblockdev-smart3:amd64	3.4.0-1	amd64
libblockdev-swap3:amd64	3.4.0-1	amd64
libblockdev-utils3:amd64	3.4.0-1	amd64
libblockdev3:amd64	3.4.0-1	amd64
libbluetooth3:amd64	5.85-4	amd64
libboost-iostreams1.90.0:amd64	1.90.0-6ubuntu1	amd64
libboost-locale1.90.0:amd64	1.90.0-6ubuntu1	amd64
libboost-thread1.90.0:amd64	1.90.0-6ubuntu1	amd64
libbpf1:amd64	1:1.6.3-1ubuntu1	amd64
libbpfcc:amd64	0.35.0+ds-1ubuntu2	amd64
libbrlapi0.8:amd64	6.7-1ubuntu6	amd64
libbrotli1:amd64	1.2.0-3build1	amd64
libbsd0:amd64	0.12.2-2build2	amd64
libburn4t64:amd64	1.5.6-1.2build1	amd64
libbytesize-common	2.12-1	amd64
libbytesize1:amd64	2.12-1	amd64
libbz2-1.0:amd64	1.0.8-6build2	amd64
libc-bin	2.43-2ubuntu2	amd64
libc-dev-bin	2.43-2ubuntu2	amd64
libc-gconv-modules-extra:amd64	2.43-2ubuntu2	amd64
libc6-dbg:amd64	2.43-2ubuntu2	amd64
libc6-dev:amd64	2.43-2ubuntu2	amd64
libc6:amd64	2.43-2ubuntu2	amd64
libcaca0:amd64	0.99.beta20-6ubuntu2	amd64
libcairo-gobject-perl	1.005-4build4	amd64
libcairo-gobject2:amd64	1.18.4-3	amd64
libcairo-perl	1.109-5build1	amd64
libcairo-script-interpreter2:amd64	1.18.4-3	amd64
libcairo2:amd64	1.18.4-3	amd64
libcairomm-1.0-1v5:amd64	1.14.5-3	amd64
libcairomm-1.16-1:amd64	1.18.0-3	amd64
libcamel-1.2-64t64:amd64	3.56.2-8	amd64
libcamera-ipa:amd64	0.7.0-1ubuntu2	amd64
libcamera0.7:amd64	0.7.0-1ubuntu2	amd64
libcanberra-gtk3-0:amd64	0.30-18ubuntu3	amd64
libcanberra-gtk3-module:amd64	0.30-18ubuntu3	amd64
libcanberra-pulse:amd64	0.30-18ubuntu3	amd64
libcanberra0:amd64	0.30-18ubuntu3	amd64
libcap-ng0:amd64	0.8.5-4build5	amd64
libcap2-bin	1:2.75-10ubuntu2	amd64
libcap2:amd64	1:2.75-10ubuntu2	amd64
libcares2:amd64	1.34.6-1	amd64
libcbor0.10:amd64	0.10.2-2ubuntu3	amd64
libcdio-cdda2t64:amd64	10.2+2.0.2-2	amd64
libcdio-paranoia2t64:amd64	10.2+2.0.2-2	amd64
libcdio19t64:amd64	2.2.0-4build1	amd64
